作品类型,作品名,评论内容,主题列表,主题,情感代码,情感
书籍,明亮的夜晚,祖孙两人多年后的重聚，牵出了曾祖母、祖母、母亲与“我”四代女人的情感故事，这故事不但跨越整个半岛，也横亘百年风云，而且还是完全女性视角的讲述，既细腻又绵长。应该说在东亚传统父权社会里，书中男性角色的集体缺席或模糊，有战争、乱世的身不由己，也有背德、出轨等艺术处理，但作为读者却并没有从中读出太多刻意，反而会被她们之前的情绪张力所吸引和感染，庆幸那些男性的缺席或模糊，珍视属于她们自己的空间与和解。就像作者书名所喻，若这人世漫漫如长夜，女性的独立与自我，无疑是其中最明亮的光色。,"['性别平等与权利', '性别歧视与刻板印象', '女性情谊与叙事', '父权与男性凝视', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性情谊与叙事;父权与男性凝视;性与性暴力,PA,喜好
书籍,明亮的夜晚,“她一生都是这样，即便浑身颤抖着，也要牵着我的手往前走。妈妈是我一生中最爱的人，即使她怕得发抖，还是步履不停。我想变得像妈妈那样。” 崔恩荣笔下的母女情和朋友情都太动人了，写到婚姻和男人出轨也仿佛那只是背景板，是女人们当时的逃避之路以及之后心灵成长的契机。我因为这点尊敬崔恩荣。“三川啊。”人一生能有一个这样呼唤着自己名字的朋友是多幸运的事啊。,['婚育与母职'],婚育与母职,PB,喜爱
书籍,明亮的夜晚,人类文明的历史有多长，对“弑父”的研究就有多久。与之相反的是，女性代际之间的关系却一直未被重视，或是潦草地扫进两种模式里去。其一是伟大的牺牲与必然的孝顺，当然这也可以是母子，而且实际上母子关系在这方面则更纯粹。其二为以性别划分的扭曲变异了的雌竞，而我更愿意相信这部分来自小样本曲解。这部小说最好的是非常真实地讲述了女性代际之间的情感关系，这并非是来自男性作者的想当然的幻想与揣测，是女性视角下的，有别于“弑父”的，背负着更多道德枷锁的探索与挣扎。,"['性与性暴力', '女性情谊与叙事']",性与性暴力;女性情谊与叙事,PH,赞扬
书籍,明亮的夜晚,情感上不如秋园来的真挚，文字上可以说毫不讲究，大段的口语。对于细节的描述可以说几乎没有，对于情感的表达基本靠直述，她很难过，她很开心。实在佩服这本书的营销，是不是只要女性的故事，披上女性主义的外衣，故事是糟糕的男性与互助的女性，就拥有了无比的正确性，可以正确到无视语言，无视情节，无视结构的无理由的好。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,妇女一直在工作,非常好地紧扣“工作”这个主题回顾了美国女性从“家庭劳作”到“从事工资工作”的历程，同时也帮助我们重新理清了「工作」的概念和意义。当我们今天普遍厌恶上班的时候，往往会忘记“工作”这件事本身的另一种可能和意义，其实工作原本是创造价值、实现自我理想甚至推动社会进步，或者简单而言是让我们过上更好生活的。因此这本书的标题「妇女一直在工作」，不仅仅是在说女性始终在以她们可见和不可见、主动或被动的方式参与工作，也是在回顾女性争取工作权利的过程中表达，我们希望真正有意义、公平、有益于个人、家庭和社会发展的工作，并希望能持续地从事这样的工作，创造更大的价值。（但，真的，当下的疲惫的确已经让打工人有点无暇顾及这些美好的愿望了，甚至在很多人心里应该想的是，我现在工作不是为了持续工作，而是为了不工作…,"['职场歧视与发展', '性别平等与权利', '性与性暴力']",职场歧视与发展;性别平等与权利;性与性暴力,PH,赞扬
书籍,妇女一直在工作,3.5 原来豆瓣4.5是因为只有12个人评价）很马克思女性主义的一本，读来像是女性主义教材的扩展阅读，但中规中矩，当最开始入门还行，但对这套叙事已经乏味了之后感觉有些旧瓶装新酒了。或许可以去回答一些问题，比如家务劳动分工，比如女性收入，虽然老生常谈，但是批评容易建设难不是吗,"['性别平等与权利', '女性觉醒与独立', '家务与家庭分工', '性与性暴力']",性别平等与权利;女性觉醒与独立;家务与家庭分工;性与性暴力,NN,贬责
书籍,妇女一直在工作,作者通过梳理美国女性劳动的历史生动阐述了父权制-资本主义政经体系如何系统性地将女性置于二等劳动者的位置。2018修订版增添的最后一章分析了女性劳动的最新发展和新一波女性主义运动的背景。一个让人难过（也是被许多社会学家反复验证）的事实是，社会不平等会陷入一个恶性循环——越是不平等，越是会加剧人们对最贫困人口的反感，给予政府更多的理由削减社会福利支出，而这对妇女造成的负面冲击是更大的。一个令人惊讶的细节：希拉里·克林顿在2016年总统大选期间将关怀问题提上议程，她主张联邦政府确保同工同酬、带薪家庭休假、扩大医疗保健、为贫困家庭提供更多补贴。这些本应惠及大众的主张没能帮助她赢得大选，而且它们还淹没在了选举骂战和泼脏水之中。,"['性别平等与权利', '女性觉醒与独立', '职场歧视与发展', '父权与男性凝视', '性与性暴力']",性别平等与权利;女性觉醒与独立;职场歧视与发展;父权与男性凝视;性与性暴力,PH,赞扬
书籍,妇女一直在工作,"翻译有一点晦涩（需要很认真才能读）语言不够流畅，整体观点也比较浅显，就是按照历史时间列了妇女从被强制关在家庭逐渐走出家庭参与工作、到现在又被要求“平衡工作家庭”的困境。有一点新颖的观点：
“与没有孩子的妇女相比，有孩子的妇女的薪水要低5%到7%。父亲不必承受任何惩罚。他们的收人比没有孩子的男人还要高8%左右。”
数据就是证据。职业隔离、限制工作种类、从出生开始克扣资源（剥脱妇女土地权益、受教育权益…）、再被灌输“爱与奉献”虚空概念、甚至妇女从事的工作“按件计费而不是按工作小时”（以此降低工作晋升可能性又确保努力工作）……可以说罄竹难书🚬…如果现在连正视现状不公正⚖️都做不到，那一味哭出生率低只能说活该了：）","['职场歧视与发展', '性与性暴力', '家务与家庭分工']",职场歧视与发展;性与性暴力;家务与家庭分工,PH,赞扬
书籍,妇女一直在工作,第139页的插图小字「虽然这些罢工工人是性别隔离的，但他们并没有种族隔离」；第194页的插图是3个在货运飞机上工作的劳动女性，太迷人了！是一代一代一直在工作的女性，用行动将性别不平等的石头一寸寸往上推，才换来历史上的女奴的女儿们可以成为自由帮佣，然后下一代女性可以进入工厂，再下一代女性可以当办公室文员，然后再下一代的女性终于可以当科学家，艺术家，音乐家，工程师...这本书就是在告诉我们，行动还是有用的，哪怕是微小的行动。好受抚慰。,"['性别平等与权利', '性与性暴力']",性别平等与权利;性与性暴力,NE,烦闷
书籍,妇女一直在工作,"2026年读完的第一本，是个好兆头呀！是一本史料详实、穿针引线式的一本好书。
阅读过程中，似乎把我的高中历史课、大学专业课、以及看过的英美电影、剧集、文学作品都以“妇女&工作”这一主题为针线全部都结实地串在了一起。很精彩、很丰盛！
世界上真的不能没有女学者啊！
它应该会成为我以后人生中会复读、会反复引用的一本书。
推荐给任何想要了解妇女与劳动/工作的人阅读。
作者对历史中许多事件的评价，放在今天也同样准确。
“一个地方，一旦把出人头地摆在最重要的位置，而且出人头地不是靠出身或家庭，而是靠个人努力，那么，这里的男人便很少有时间照顾家庭。 为了在工作领域竞逐，男人们需要有一个井然有序的家庭。…相反，妇女要成为帮助男人成功的工具。作为回报，他们可以期待得到整个社会的崇拜和感激。”","['职场歧视与发展', '性别歧视与刻板印象']",职场歧视与发展;性别歧视与刻板印象,PH,赞扬
书籍,妇女一直在工作,有多少女性受偏见和歧视之苦，就有多少女性起身反抗她自身的处境。通过梳理过去两百年的女性工作史，这本书向我们展示了一幅女性不断被压制、不断奋起抗争的历史长卷。令人唏嘘的是，时至今日，妇女们依然在有偿工作与无偿照护两大“分隔”领域，饱受煎熬，一面是年幼的孩子和迟暮的老人，一面是养家必需的收入、社会身份和自我实现。观念在更新，环境在改善，但还远远不够。每向前走一步，都是走入历史。,"['职场歧视与发展', '性别平等与权利', '女性觉醒与独立', '性与性暴力']",职场歧视与发展;性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,妇女一直在工作,美国女性劳动历史，从工作维持生计到回归家庭承担家庭“美德”当教育孩子的母亲，再到生产者与重要的消费者，以及成立女性俱乐部的过程,"['职场歧视与发展', '性与性暴力']",职场歧视与发展;性与性暴力,PH,赞扬
书籍,妇女一直在工作,建议搭配《父权制与资本积累》食用，别有一番风味。在资产阶级的意义上，女性从来没有被定义为自由的历史主体。因此，对女性施加暴力、通过胁迫性劳动关系榨取女性的劳动力，这是资本主义的组成部分。它们是资本主义积累过程的必要条件，而不是它的附带性内容。换句话说，如果资本主义想维持积累模式，就必须利用、加强甚至创造父权制的男女关系。所谓“家庭主妇”的传统形象是晚近的建构——从田野到作坊，从家庭生产到有偿帮佣，妇女的劳动始终是经济运转的隐形支柱。将家务定义为“非工作”本身就是父权制与资本主义的共谋，它系统性地贬低了女性创造的价值。那些被长期隐形的哺育、耕种、缝补与情感维系——这些构成人类文明基石的劳动从未停止，却始终被排除在价值计量之外。当资本主义与父权制将“工作”狭隘定义，究竟掩盖了多少性别化的付出？,"['性别平等与权利', '婚育与母职', '职场歧视与发展', '父权与男性凝视', '性别暴力与家暴', '性与性暴力', '家务与家庭分工']",性别平等与权利;婚育与母职;职场歧视与发展;父权与男性凝视;性别暴力与家暴;性与性暴力;家务与家庭分工,NN,贬责
书籍,妇女一直在工作,平和，通顺，流程，要言不烦。本书体制介于小册子和略显厚重的历史学著作之间，取法乎上，仅得其中。妇女一直在工作，但是组成其生活领域的设施和与此配置的心智结构也在不断改变。作者坚持了马克思主义女性主义（起码中文导读用了这样一个词汇）的传统，呼吁警惕「姐妹情谊」下所掩盖的阶级和人种因素。曲折反复的历史过程被流畅地叙述起来，作者举重若轻的能力实在值得学习。本书梳理过工作伦理的历时变化，可以和鲍曼一起读。妇女所从事的工作以及工作在性别分工中所处的位置并非简单地由前工业的男主外女主内到工业时代去技术化带来的解放。事实远非如此，历史更加复杂……,"['性别平等与权利', '女性觉醒与独立', '女性情谊与叙事', '性与性暴力']",性别平等与权利;女性觉醒与独立;女性情谊与叙事;性与性暴力,PH,赞扬
书籍,妇女一直在工作,非常优秀的美国妇女劳动史。妇女从未停止过工作，「妇女不工作」是被建构出来的错误概念，在不同的历史阶段，妇女的劳动被不断重新定义、重新分类…印象比较深刻的是1、「一个社会愿意让某些妇女像弃儿一般生活，以维护有权势者的道德，而这些有权势者一边利用妇女，一边又谴责她们。」2、社会对妇女角色长期存在幻想和预设3、性骚扰长期存在（或许至今仍未改善）。不知道国内有没有类似的系统的妇女劳动史…我读的太少，想的太多。,['性与性暴力'],性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,性权利，性骚扰，色情文化。据说一字未删。权利问题，一定会遇到权力问题。,"['性别平等与权利', '性与性暴力']",性别平等与权利;性与性暴力,NN,贬责
书籍,性权利：21世纪的女性主义,女权主义不能沉浸在各种利益总能趋于一致的幻想当中，认为我们的计划不会造成意想不到、非我等所愿的后果，认为政治是舒适之所。“性革命究竟解放了谁？” “我们从未自由过。”,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,"这本书总共337页，注释和参考文献有将近90页。极其扎实的数据和文献调研，极其优秀的文本，极其精彩的逻辑论证，讨论了极其尖锐的问题。性权利的话题将女权问题的复杂性体现得淋漓尽致。/不过不知道是不是翻译的问题，有些句子不很通顺，很难读；大量引用文献导致有时候理论方面显得冗余。但绝对瑕不掩瑜。/
另外，短评第一条""李欣原""到底有没有读过书，他的理解和作者的思想完全相反，还能得到33个""有用""，真是匪夷所思。男性对女权主义者的攻击竟然要建立在男性自创的""女权""思想上，让人无言以对。","['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,本书的出版历程很契合做这本书的初衷。被两个出版社因为“性”这一题材拒稿，并在第三个出版社喜提出版局批复“注意尺度把控”。所幸谨慎地走完三审后，主编与看过稿的编辑们看法一致：一点儿删改的必要都没有。所以到底要限制什么题材，又把控什么尺度呢？这就是为什么女性主义类图书的出版和推广仍然十分重要。你们说呢？,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,非常好的书，读到一些没想过的角度：黑人和低种姓女性如何被污名化，甚至被认为“不会被强奸”；诬告男性强奸的大多数是男性；被#MeToo 的男明星从来没打算成为更好的男人，很快回到原来的位置，只会同情他的一丘之貉；废除主义者在呼吁严惩家暴分子时，其贫困的妻子却因丈夫入狱而失去收入来源，家暴的报案率低并不意味着实际上家暴的减少……,"['性与性暴力', '性别暴力与家暴']",性与性暴力;性别暴力与家暴,ND,悲伤
书籍,性权利：21世纪的女性主义,女权主义必须不停地提出尖锐的问题。,"['性别平等与权利', '女性觉醒与独立']",性别平等与权利;女性觉醒与独立,PG,相信
书籍,性权利：21世纪的女性主义,英国哲学家埃米娅·斯里尼瓦桑在书中尖锐触及了许多最新的性别议题，并呈现出这些议题背后的伦理复杂性。例如对校园性骚扰案件的讨论中，我们已经关注到未征得同意的性行为的伤害性，那么一次双方都同意的性行为是否就毫无问题？在权力差别之下又是否存在真正的同意？不仅在两性之间，对“性”的讨论还浓缩了近年来女性内部的分歧与撕裂。对于“性工作是否应该定罪”的分野，折射出的是“革命”还是“改良”的道路差异。从更广阔的视野看，如今舆论场围绕性别议题的争议焦点之一，逐渐偏向是否要选择让实际的女性陷入贫困，以此为名义解放所有女性。但这种逻辑假设很可能导向象征政治。如果说女性主义是一场运动，那么别忘了这场运动中历来存在且还将持续存在无法触及权力的人。我们当然必须寻获权力，但那之后要转身追随的，是这些处于权力困境的女性。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,作者太聪明了，而且是非常站对自己位置的聪明，就有种“我有权站在这里，发出我的声音”那种正当自信，学起来！有时候，足够自信，敢于坐庄，你才能理性透彻地揭露这种权力的不对等以及内部的复杂性。敢理性掀桌的女性，敢借用主流规则的女性，我是服气的。【第四页，“一位著名的哲学家曾对我说，他反对女性主义者对性的批判，因为只有在做爱时，他才能感到真正对政治置身事外，他才能感到自由。我问他，他的妻子对此怎会说（我没法问她本人，因为那顿晚宴她没有受邀）”,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,虽然是作者2020年写的书，但已经远超国内当下讨论的前列。女权主义是不断变化的政治运动，是因为地缘、文化、肤色而各自开枝散叶的斗争。因此，书里有一个观点特别给人启发——交叉性女权思考——去复杂化我们所面对的问题：不公平是否有比较级？对黑男的涉毒歧视和对亚男的性能力歧视是同等的歧视吗？精英白男的强奸诬告率是否最高？家庭主妇的求救和职场性骚扰的求救哪个优先？在哪些国家，有些强奸比另一些强奸更重要？除此之外，书里的几篇文章各有侧重，简直可以开一学期的课程与女朋友们共读。书名是the right to sex 而不是of sex也值得深思。,"['性别平等与权利', '婚育与母职', '女性觉醒与独立', '职场歧视与发展', '性与性暴力']",性别平等与权利;婚育与母职;女性觉醒与独立;职场歧视与发展;性与性暴力,ND,悲伤
书籍,性权利：21世纪的女性主义,犀利、敏锐的前沿洞察，尤其关注最新的政治实践和社会现象，因而这本小册子并不只是学术探讨，本身也深深卷入个人争取权利的斗争中。所谓“性权利”本身就是后现代社会的产物：性看似最私密，但现在已转变为重大公共议题。作者坚定地强调，“性是一件冒充天然的文化造物”，它看似天生决定着我们的身份角色和感受（谁给予，谁索要，谁要求，谁服务，谁渴望，谁被渴望，谁获益，谁受损），但实际上这些都是文化建构的产物，不同的力量都在这个场域拉锯、博弈。尤为精彩的是，作者呈现并分析了不同话语在这个复杂微妙的情境中的争夺，这也意味着永远不可能有定论，而只能保持理性的态度和开放的对话。,"['性别平等与权利', '性与性暴力']",性别平等与权利;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,以前我也是色情合法化的坚决反对者，看了本书我才知道理论和实践之间的差距有如鸿沟，一旦色情非合法，最受影响的并非上游的获利者，而是底层处在边缘的性工作者。怎么说呢，看完了很多女性主义作品后仍然觉得迷茫，迷茫在你知道很多问题所在，却发现这个社会的固化如此严重，往哪里走都好像很困难。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,性权利：21世纪的女性主义,看女权主义者和女权主义者讨论，比看男人和女人吵架有意思多了。,"['性别平等与权利', '女性觉醒与独立']",性别平等与权利;女性觉醒与独立,NN,贬责
书籍,性权利：21世纪的女性主义,印象深刻的点：1.男性抱怨遭遇的不公平的对待很大一部分来自于父权制（性的等级化）和男性内部（“诬告强奸”）。2.讨论色情制品和性教育部分相当practical，色情制品可能的确反映了某种压迫性的姿态，只不过在互联网时代禁绝（因为这不可能）未必让事情更好；应该提上日程的是性教育和非顺直男视角的制品，而这有赖于整个性别体制更深刻的变革。3.不存在性权利，没有人有义务和你做爱；但我们如何对自己期待做爱的对象进行偏好排序同样离不开社会对我们欲望的塑造（不要肥）。我们可以说性工作是个人的选择，但同时我们也必须注意到，如果我们有其他选择，我们会选什么。4.性别意味着某些身体被指派为一部分，其他指派为另一部分。5.师生恋和精神分析中的移情相似，前者应被恰当引导，后者同理（而非把学生的身体视为奖品）。,"['性别平等与权利', '父权与男性凝视', '性与性暴力']",性别平等与权利;父权与男性凝视;性与性暴力,PH,赞扬
书籍,性权利：21世纪的女性主义,一本强奸过我的人送我的书，真是讽刺。断断续续从夏天读到春天才读完，带着这本被我撕了扉页扔掉书皮的书去过医院体检、公园发呆、和QJF打电话对峙、和朋友在被窝里各自读书、坐高铁去别处。和书名所表现出的自由主义倾向不同，本书的立场是：不存在性权利，存在的是不被强奸的权利。色情文化缔造了我们对于什么样的形象产生性欲、吹鼓着性暴力的发生。资本主义擅于把政治正确的幌子为己所用，引导人们坠向自由的奴役。很少见到如此新鲜、充满了时事却又不忘历史的女权主义书籍，占据本书四分之一厚度的附录里满满的引用令人安心，就着作者的索引可以在互联网逛好一阵子。,"['性别平等与权利', '性别暴力与家暴', '女性觉醒与独立', '性与性暴力']",性别平等与权利;性别暴力与家暴;女性觉醒与独立;性与性暴力,NN,贬责
书籍,一间只属于自己的房间,把这本书打上女权的标签某种意义上似乎违背了作者的本意。比起强调女性过去被掩埋和被贬低的历史，伍尔夫更多强调了一种作为人的自由，也就是她所表述的“雌雄同体”。女人面对压迫不要愤怒，回应愤怒就阻碍了本该自由的脚步，同理，男性面对异性地位的变化也不可愤怒。两性的差异不可回避，应该结合。——这是100年前的思想深度。今天再来看，我们拥有更多女性小说家了吗？,"['性别平等与权利', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,NN,贬责
书籍,一间只属于自己的房间,非常好读。从女性作家入手，应该是从文学史上的女性入手（包括作家，角色，女作家“选择”创作的体裁入手）谈女性权益，全本书不厚但是很精华，几乎一直在做批注。很适合与《厌女》共读，后者更加概念化。伍尔芙既敏锐又俏皮，太可爱了。（还能感受到意识流文风）,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,PH,赞扬
书籍,一间只属于自己的房间,伍尔夫的房间有几个层次。首先，早期女性作家的匮乏是因为缺少独自写作的房间，才华过人的简奥斯汀只能在嘈杂的客厅偷偷写作。第二层是“雌雄同体”，人的两性观是脑海里的两个房间，优秀的作家让两个房间进行情感传递，彼此共鸣，而不是互相隔绝。最后她提倡，新时代的女性应为自己提供一间独立的房间，这里的房间实为“金钱“的概念，既财富独立，这是心智自由的基础，唯有心智获得自由，女性才能为自己创造更多机会。很巧妙的一点在于，结尾所述的自由，是女性走出了房间。伍尔夫的平权观点基于两性平等和相互协作，为女性争夺权利的前提并非贬低男性，贬低是自我意识过剩的表现，是那些享有优越地位的非雌雄同体的男性所具备的典型思维，如果女性用自己所反对的来支持自己的抗争，本身就是个悖论。,"['性别平等与权利', '性与性暴力']",性别平等与权利;性与性暴力,PH,赞扬
